Time[s], x[px], y[px], phi[deg], delta_left, delta_right, omega_left, omega_right, rule_number, desired_course, course_error
0.0242875, 97, 254, 0, 0, 0, 0, 0, 0, 0, 0, 
0.0556469, 97, 254, 0, 0, 0, 0, 0, 0, 0, 0, 
0.087885, 96, 254, 0, 0, 0, 0, 0, 0, 29.0546, -29.0546, 
0.127609, 87, 228, 7.03376, 0, 0, 0, 0, 0, 29.0546, -29.0546, 
0.153265, 96, 254, 7.03376, 0, 0, 0, 0, 0, 29.0546, -29.0546, 
0.190113, 97, 254, 7.03376, 0, 0, 0, 0, 2, 3.46823, 3.56553, 
0.221134, 96, 254, 7.03376, 0, 0, 0, 0, 2, 3.46823, 3.56553, 
0.253318, 96, 253, 7.03376, 0, 0, 0, 0, 2, 3.46823, 3.56553, 
0.285611, 96, 254, 7.03376, 0, 0, 0, 0, 2, 3.46823, 3.56553, 
0.321508, 96, 254, 7.03376, 0, 0, 0, 0, 2, 3.46823, 3.56553, 
0.353216, 95, 253, 10.0929, 0, 0, 0, 0, 2, -0.484178, 10.5771, 
0.390176, 96, 254, 10.0929, 0, 0, 0, 0, 2, -0.484178, 10.5771, 
0.422707, 96, 254, 10.0929, 0, 0, 0, 0, 3, -0.484178, 10.5771, 
0.452413, 96, 254, 10.0929, 0, 0, 0, 0, 3, -0.484178, 10.5771, 
0.485407, 96, 254, 10.0929, 0, 0, 0, 0, 3, -0.484178, 10.5771, 
0.523636, 95, 253, 10.0088, 0, 0, 0, 0, 3, -0.484178, 10.493, 
0.557648, 96, 254, 10.0088, 0, 0, 0, 0, 3, -0.484178, 10.493, 
0.59491, 95, 253, 10.0081, 0, 0, 0, 0, 3, -0.484178, 10.4922, 
0.626347, 96, 254, 10.0081, 0, 0, 0, 0, 3, -0.484178, 10.4922, 
0.65345, 96, 254, 10.0081, 0, 0, 0, 0, 3, -0.484178, 10.4922, 
0.685779, 96, 254, 10.0081, 0, 0, 0, 0, 3, -0.484178, 10.4922, 
0.722559, 96, 254, 10.0081, 0, 0, 0, 0, 3, -0.484178, 10.4922, 
0.753096, 95, 253, 10.008, 0, 0, 0, 0, 3, -0.484178, 10.4922, 
0.789613, 96, 254, 10.008, 0, 0, 0, 0, 3, -0.484178, 10.4922, 
0.820707, 96, 254, 10.008, 0, 0, 0, 0, 3, -0.484178, 10.4922, 
0.852736, 96, 254, 10.008, 0, 0, 0, 0, 3, -0.484178, 10.4922, 
0.88418, 96, 254, 10.008, 0, 0, 0, 0, 3, -0.484178, 10.4922, 
0.922026, 95, 253, 10.008, 0, 0, 0, 0, 3, -0.484178, 10.4922, 
0.956162, 96, 254, 10.008, 0, 0, 0, 0, 3, -0.484178, 10.4922, 
0.992247, 96, 254, 10.008, 0, 0, 0, 0, 3, -0.484178, 10.4922, 
1.02653, 96, 254, 10.008, 0, 0, 0, 0, 3, -0.484178, 10.4922, 
1.05285, 95, 253, 11.2872, 0, 0, 0, 0, 3, -0.484178, 11.7714, 
1.08687, 96, 254, 11.2872, 0, 0, 0, 0, 3, -0.484178, 11.7714, 
1.12424, 96, 254, 11.2872, 0, 0, 0, 0, 3, -0.484178, 11.7714, 
1.15839, 95, 254, 11.2872, 0, 0, 0, 0, 3, -0.484178, 11.7714, 
1.19465, 96, 254, 11.2872, 0, 0, 0, 0, 3, -0.484178, 11.7714, 
1.22098, 95, 253, 11.1151, 0, 0, 0, 0, 3, -0.484178, 11.5993, 
1.25624, 96, 254, 11.1151, 0, 0, 0, 0, 3, -0.484178, 11.5993, 
1.2895, 96, 254, 11.1151, 0, 0, 0, 0, 3, -0.484178, 11.5993, 
1.32561, 96, 254, 11.1151, 0, 0, 0, 0, 3, -0.484178, 11.5993, 
1.35276, 96, 254, 11.1151, 0, 0, 0, 0, 3, -0.484178, 11.5993, 
1.38974, 95, 253, 11.2885, 0, 0, 0, 0, 3, -0.484178, 11.7727, 
1.42388, 96, 253, 11.2885, 0, 0, 0, 0, 3, -0.484178, 11.7727, 
1.45821, 95, 254, 11.2885, 0, 0, 0, 0, 3, -0.484178, 11.7727, 
1.4853, 95, 254, 11.2885, 0, 0, 0, 0, 3, -0.484178, 11.7727, 
1.5215, 95, 253, 11.1155, 0, 0, 0, 0, 3, -0.484178, 11.5997, 
1.55587, 95, 254, 11.1155, 0, 0, 0, 0, 3, -0.484178, 11.5997, 
1.59215, 96, 254, 11.1155, 0, 0, 0, 0, 3, -0.484178, 11.5997, 
1.6263, 95, 255, 11.1155, 0, 0, 0, 0, 3, -0.484178, 11.5997, 
1.65273, 95, 255, 11.1155, 0, 0, 0, 0, 3, -0.484178, 11.5997, 
1.68833, 95, 254, 12.3733, 0, 0, 0, 0, 3, -0.645559, 13.0188, 
1.7237, 95, 255, 12.3733, 0, 0, 0, 0, 3, -0.645559, 13.0188, 
1.75586, 95, 255, 12.3733, 0, 0, 0, 0, 3, -0.645559, 13.0188, 
1.79373, 95, 255, 12.3733, 0, 0, 0, 0, 3, -0.645559, 13.0188, 
1.82058, 95, 254, 12.4074, 0, 0, 0, 0, 3, -0.645559, 13.0529, 
1.85573, 95, 254, 12.4074, 0, 0, 0, 0, 3, -0.645559, 13.0529, 
1.88894, 95, 254, 12.4074, 0, 0, 0, 0, 3, -0.645559, 13.0529, 
1.92471, 95, 255, 12.4074, 0, 0, 0, 0, 3, -0.645559, 13.0529, 
1.9524, 95, 255, 12.4074, 0, 0, 0, 0, 3, -0.645559, 13.0529, 
1.98956, 95, 254, 12.5054, 0, 0, 0, 0, 3, -0.645559, 13.1509, 
2.02367, 95, 254, 12.5054, 0, 0, 0, 0, 3, -0.645559, 13.1509, 
2.05808, 95, 254, 14.3673, 0, 0, 0, 0, 3, -0.645559, 15.0129, 
2.08486, 94, 254, 14.3673, 0, 0, 0, 0, 3, -0.645559, 15.0129, 
2.12133, 94, 254, 13.3532, 0, 0, 0, 0, 3, -0.643746, 13.9969, 
2.15367, 94, 254, 13.3532, 0, 0, 0, 0, 3, -0.643746, 13.9969, 
2.19219, 94, 254, 13.3532, 0, 0, 0, 0, 3, -0.643746, 13.9969, 
2.22682, 94, 255, 13.3532, 0, 0, 0, 0, 3, -0.643746, 13.9969, 
2.25212, 94, 255, 13.3532, 0, 0, 0, 0, 3, -0.643746, 13.9969, 
2.28781, 94, 254, 13.4713, 0, 0, 0, 0, 3, -0.643746, 14.1151, 
2.32358, 94, 255, 13.4713, 0, 0, 0, 0, 3, -0.643746, 14.1151, 
2.358, 94, 254, 13.4713, 0, 0, 0, 0, 3, -0.643746, 14.1151, 
2.38885, 94, 255, 13.4713, 0, 0, 0, 0, 3, -0.643746, 14.1151, 
2.42062, 94, 254, 14.5485, 0, 0, 0, 0, 3, -0.643746, 15.1922, 
2.45551, 94, 255, 14.5485, 0, 0, 0, 0, 3, -0.643746, 15.1922, 
2.49005, 94, 255, 14.5485, 0, 0, 0, 0, 3, -0.643746, 15.1922, 
2.52311, 94, 255, 14.5485, 0, 0, 0, 0, 3, -0.643746, 15.1922, 
2.5524, 94, 255, 14.5485, 0, 0, 0, 0, 3, -0.643746, 15.1922, 
2.5893, 94, 254, 13.5063, 0, 0, 0, 0, 3, -0.643746, 14.15, 
2.62347, 94, 255, 13.5063, 0, 0, 0, 0, 3, -0.643746, 14.15, 
2.65788, 94, 255, 13.5063, 0, 0, 0, 0, 3, -0.643746, 14.15, 
2.68425, 94, 255, 13.5063, 0, 0, 0, 0, 3, -0.643746, 14.15, 
2.72104, 94, 254, 13.5055, 0, 0, 0, 0, 3, -0.643746, 14.1492, 
2.75521, 94, 255, 13.5055, 0, 0, 0, 0, 3, -0.643746, 14.1492, 
2.79162, 94, 255, 13.5055, 0, 0, 0, 0, 3, -0.643746, 14.1492, 
2.82558, 94, 255, 13.5055, 0, 0, 0, 0, 3, -0.643746, 14.1492, 
2.85266, 94, 255, 13.5055, 0, 0, 0, 0, 3, -0.643746, 14.1492, 
2.88712, 94, 254, 13.5929, 0, 0, 0, 0, 3, -0.643746, 14.2366, 
2.92302, 94, 256, 13.5929, 0, 0, 0, 0, 3, -0.643746, 14.2366, 
2.95749, 94, 255, 14.4761, 0, 0, 0, 0, 3, -0.804663, 15.2807, 
2.99093, 94, 255, 14.4761, 0, 0, 0, 0, 3, -0.804663, 15.2807, 
3.01999, 94, 255, 15.5256, 0, 0, 0, 0, 3, -0.804663, 16.3303, 
3.05496, 93, 257, 15.5256, 0, 0, 0, 0, 3, -0.804663, 16.3303, 
3.08481, 94, 256, 15.5256, 0, 0, 0, 0, 3, -0.804663, 16.3303, 
3.1237, 94, 255, 15.5256, 0, 0, 0, 0, 3, -0.804663, 16.3303, 
3.1519, 94, 256, 15.5256, 0, 0, 0, 0, 3, -0.804663, 16.3303, 
3.18739, 93, 256, 14.6447, 0, 0, 0, 0, 3, -0.962864, 15.6075, 
3.22328, 94, 254, 14.6447, 0, 0, 0, 0, 3, -0.962864, 15.6075, 
3.25747, 94, 255, 14.6447, 0, 0, 0, 0, 3, -0.962864, 15.6075, 
3.2848, 94, 254, 14.6447, 0, 0, 0, 0, 3, -0.962864, 15.6075, 
3.32059, 93, 254, 16.9214, 0, 0, 0, 0, 3, -0.641943, 17.5633, 
3.35499, 93, 255, 16.9214, 0, 0, 0, 0, 3, -0.641943, 17.5633, 
3.39113, 93, 255, 16.9214, 0, 0, 0, 0, 3, -0.641943, 17.5633, 
3.42438, 93, 255, 16.9214, 0, 0, 0, 0, 3, -0.641943, 17.5633, 
3.45177, 93, 255, 16.9214, 0, 0, 0, 0, 3, -0.641943, 17.5633, 
3.48704, 93, 254, 15.655, 0, 0, 0, 0, 3, -0.641943, 16.297, 
3.52289, 93, 254, 15.655, 0, 0, 0, 0, 3, -0.641943, 16.297, 
3.55684, 93, 254, 16.884, 0, 0, 0, 0, 3, -0.641943, 17.5259, 
3.59001, 93, 255, 16.884, 0, 0, 0, 0, 3, -0.641943, 17.5259, 
3.61975, 93, 254, 16.0393, 0, 0, 0, 0, 3, -0.641943, 16.6812, 
3.65469, 93, 255, 16.0393, 0, 0, 0, 0, 3, -0.641943, 16.6812, 
3.68482, 93, 255, 16.0393, 0, 0, 0, 0, 3, -0.641943, 16.6812, 
3.72375, 93, 255, 16.0393, 0, 0, 0, 0, 3, -0.641943, 16.6812, 
